Phage Name,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,Latitude,Longitude,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
244,15260,,Allegheny County,7.4504907975460135,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444259,-79.95320799999999,35.0,8.4,37.0,3.0,37.0,24.0
ABCat,06511,9041.0,New Haven County,7.902839776569157,Not applicable,171.77636986301368,6.426255707762557,0.1953424657534197,41.33,-72.94800000000001,53.0,13.0,59.0,4.7,55.0,37.0
ABU,18107,,Northampton County,7.834701141591402,"Stable, normal stage",170.40136986301368,6.246461187214612,0.2342739726027997,40.639708,-75.379356,42.0,10.0,45.0,3.6,44.0,29.0
ACFishhook,66502,191.0,Riley County,7.833907596847206,"Stable, high stage",189.89531963470318,6.363470319634702,0.21150684931509056,39.101453,-96.61059,24.0,5.7,25.0,2.1,25.0,16.0
AFIS,47907,,Tippecanoe County,7.7553144971708114,Not applicable,173.16632420091324,6.472374429223744,0.2340821917808549,40.421085999999995,-86.922207,12.0,2.8,12.0,1.0,12.0,8.0
AN3,,,Dodge County,,,204.80273972602745,12.829908675799091,0.12789041095889073,32.1656,-82.9001,41.0,9.8,44.0,3.6,43.0,28.0
AN9,,,Dodge County,,,204.80273972602745,12.829908675799091,0.12789041095889073,32.1656,-82.9001,41.0,9.8,44.0,3.6,43.0,28.0
ANI8,,,Dodge County,,,204.80273972602745,12.829908675799091,0.12789041095889073,32.1656,-82.9001,41.0,9.8,44.0,3.6,43.0,28.0
ASerpRocky,15213,14474.0,Allegheny County,7.812237151557299,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444285,-79.955213,35.0,8.4,37.0,3.0,37.0,24.0
Aaronocolus,76201,4857.0,Denton County,7.9848855905999025,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.213,-97.148,42.0,10.0,45.0,3.6,44.0,29.0
Abba,90024,16154.0,Los Angeles County,7.966310096153876,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.067996,-118.45076499999999,42.0,10.0,45.0,3.6,44.0,29.0
AbbeyMikolon,18766,,Luzerne County,7.918820010875497,"Stable, normal stage",161.1986301369863,5.206050228310502,0.21419178082192605,41.244625,-75.88789,35.0,8.4,37.0,3.0,37.0,24.0
AbbysRanger,42539,47.0,Casey County,,,179.7229452054794,8.31986301369863,0.1678630136986592,37.39757,-85.01984,47.0,11.2,50.0,4.1,49.0,32.0
Abdiel,63143,4910.0,Saint Louis County,7.905922506065358,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.643888000000004,-90.311944,38.0,9.1,41.0,3.3,40.0,26.0
Abidatro,07043,4671.0,Essex County,7.8498127909825985,,171.08047945205482,6.804680365296804,0.1824931506849266,40.861999999999995,-74.1987,42.0,10.0,45.0,3.6,44.0,29.0
Abinghost,20646,229.0,Charles County,7.8498127909825985,,183.87340182648398,8.588470319634705,0.15605479452053705,38.5514,-77.0112,47.0,11.2,50.0,4.1,49.0,32.0
Abrogate,54022,159.0,Pierce County,7.827595733664693,,162.46746575342462,2.0579908675799095,0.3163013698630409,44.853317,-92.61640799999999,21.0,5.0,22.0,1.8,22.0,14.0
AbsoluteMadLad,59855,1326.0,Lake County,7.832724321012856,,152.4030821917808,0.2541095890410959,0.3811506849314715,47.5916,-114.1112,37.0,8.8,39.0,3.2,39.0,25.0
Abt2graduatex2,21228,3070.0,Baltimore County,7.836801939897794,,180.49235159817349,7.419178082191781,0.17175342465754556,39.257815,-76.706519,34.0,8.1,36.0,2.9,36.0,23.0
Acadian,70503,2346.0,Lafayette Parish,7.831058056872027,Not applicable,203.01541095890408,15.767808219178082,0.14958904109590185,30.213741,-92.017924,10.0,2.4,10.0,0.8,10.0,7.0
Achebe,,,Warren County,,,181.31529680365296,9.667157534246572,0.16150684931508502,36.98543,-86.44900600000001,44.0,10.5,47.0,3.8,46.0,30.0
Acme,04469,11187.0,Penobscot County,7.8302763998340765,,158.55593607305937,3.4551369863013703,0.3524383561643947,44.900917,-68.668778,25.0,6.0,27.0,2.2,26.0,17.0
Acolyte,06493,,Hancock County,7.821160748125548,,163.2658675799087,4.321118721461187,0.30819178082188103,44.374232,-68.07,33.0,7.9,35.0,2.9,34.0,23.0
Acquire49,40744,174.0,Laurel County,7.813027547076706,Not determined,176.6529680365297,8.161872146118721,0.18260273972606586,37.082778000000005,-84.101389,48.0,11.5,51.0,4.2,50.0,33.0
ActinUp,15601,690.0,Westmoreland County,7.810526964560846,"Stable, normal stage",166.1246575342466,6.005365296803652,0.2430410958904581,40.310755,-79.559596,36.0,8.6,38.0,3.1,38.0,25.0
Adahisdi,28788,,Jackson County,7.806250126807188,,190.76586757990867,7.947031963470319,0.13506849315066227,35.32,-83.17,26.0,6.2,28.0,2.2,27.0,18.0
Adaia,18353,271.0,Monroe County,7.7955433666325655,Not applicable,168.2942922374429,5.228196347031964,0.2135342465753796,40.9046,-75.3863,38.0,9.1,41.0,3.3,40.0,26.0
Adat,43210,6102.0,Franklin County,7.79570026840369,"Stable, normal stage",171.3874429223744,6.369520547945205,0.2559452054794956,40.0075,-83.023,13.0,3.1,14.0,1.1,13.0,9.0
Adelaide,35234,1772.0,Jefferson County,7.799989594174307,,196.86780821917807,11.498744292237447,0.13854794520548586,33.543682000000004,-86.77963299999999,58.0,15.4,69.0,5.2,60.0,41.0
Adephagia,76203,,Denton County,7.802522136377377,Rising stage,208.52066210045663,10.775228310502284,0.16802739726028745,33.211822,-97.148636,42.0,10.0,45.0,3.6,44.0,29.0
Adgers,29415,,Charleston County,7.800482654561818,,199.05627853881282,15.504337899543383,0.08495890410960122,32.776097,-79.925374,44.0,10.5,47.0,3.8,46.0,30.0
Ading,19141,17301.0,Philadelphia County,7.793342777332058,"Stable, low stage",178.07477168949768,7.106735159817353,0.14227397260271732,40.037778,-75.149167,67.0,19.7,87.0,6.1,69.0,48.0
Adjutor,15260,,Allegheny County,7.4504907975460135,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444259,-79.95320799999999,35.0,8.4,37.0,3.0,37.0,24.0
Adlitam,12550,1568.0,Orange County,7.784724711945782,"Stable, low stage",166.26986301369863,5.754566210045662,0.2304383561643113,41.51,-74.01,8.0,1.9,8.0,0.7,8.0,5.0
Adnama,40207,2559.0,Jefferson County,7.7847676063492095,"Stable, normal stage",176.84326484018266,8.77431506849315,0.16509589041092906,38.281667,-85.700389,52.0,12.5,57.0,4.6,54.0,36.0
Adolin,15260,,Allegheny County,7.782915793805815,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.445,-79.955,35.0,8.4,37.0,3.0,37.0,24.0
Adonis,31061,185.0,Baldwin County,7.73823534924372,,199.9131278538813,11.967557077625578,0.13375342465751472,33.078706,-83.216461,41.0,9.8,44.0,3.6,43.0,28.0
Adora,15010,568.0,Beaver County,7.7407396036485565,"Stable, normal stage",165.30433789954338,5.437214611872146,0.2663561643835937,40.786215000000006,-80.33044100000001,31.0,7.4,33.0,2.7,32.0,21.0
Adriana,,,,,,169.36986301369862,5.388698630136986,0.2720000000000412,41.3807,-83.641,30.0,7.2,32.0,2.6,31.0,21.0
Adumb2043,80922,4448.0,El Paso County,7.7468048053950085,Not applicable,210.06347031963472,-2.189406392694065,0.25564383561647536,38.89966,-104.69988000000001,15.0,3.6,16.0,1.3,15.0,10.0
Aelin,,,,,,161.6349315068493,0.4272831050228311,0.3260273972602788,46.4504,-95.9816,25.0,6.0,27.0,2.2,26.0,17.0
Aeneas,84606,2853.0,Utah County,7.771421832759253,,195.16518264840184,-1.4984132420091318,0.3083835616438892,40.244701,-111.650247,39.0,9.3,42.0,3.4,41.0,27.0
Aesir,,,,,,177.46598173515983,6.089155251141553,0.2780547945205721,40.609722,-89.111389,28.0,6.7,30.0,2.4,29.0,19.0
Affeca,15213,14474.0,Allegheny County,7.770361988619722,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.443889,-79.955556,35.0,8.4,37.0,3.0,37.0,24.0
Agape74,49423,580.0,Ottawa County,7.756318939660572,"Stable, high stage",166.8412100456621,5.32468036529679,0.2966849315068809,42.786111,-86.101667,26.0,6.2,28.0,2.2,27.0,18.0
Agatha,15213,14474.0,Allegheny County,7.7555083575247235,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.446940000000005,-79.95167,35.0,8.4,37.0,3.0,37.0,24.0
AgentM,90024-2704,,Los Angeles County,7.756254867038096,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.06,-118.45,42.0,10.0,45.0,3.6,44.0,29.0
Aggie,27411,,Guilford County,7.751165811089068,,188.952397260274,8.9513698630137,0.1366301369862883,36.079112,-79.77063299999999,38.0,9.1,41.0,3.3,40.0,26.0
Aglet,02918,,,7.74685697236767,"Stable, normal stage",170.22454337899543,5.75115296803653,0.19347945205478892,41.843542,-71.43571999999999,50.0,12.0,54.0,4.4,53.0,35.0
AgronaGT15,04106,2061.0,Cumberland County,7.7364943850286565,Not applicable,162.80867579908673,5.131849315068493,0.18276712328763828,43.647,-70.2283,50.0,12.0,54.0,4.4,53.0,35.0
Ailee,15213,14474.0,Allegheny County,7.7359316523814945,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.445603000000006,-79.960464,35.0,8.4,37.0,3.0,37.0,24.0
Airmid,79932,1750.0,El Paso County,7.739098819941289,Not applicable,250.2574200913242,1.5787671232876712,0.20928767123290493,31.869302,-106.61006100000002,46.0,11.0,49.0,4.0,48.0,32.0
Ajay,92880,2380.0,Riverside County,7.739657332471161,"Stable, low stage",230.6067351598174,4.384817351598174,0.16983561643837028,33.9582,-117.573698,46.0,11.0,49.0,4.0,48.0,32.0
Akhila,11030,2691.0,Nassau County,7.737248445962188,Not applicable,173.71095890410962,7.403082191780823,0.18046575342461632,40.7973,-73.694939,45.0,10.8,48.0,3.9,47.0,31.0
Akoma,15260,,Allegheny County,7.73660727886649,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4443,-79.9532,35.0,8.4,37.0,3.0,37.0,24.0
Akoni,33647,1624.0,Hillsborough County,7.700818521492407,,214.69429223744288,17.6513698630137,0.1339178082191552,28.124411,-82.368309,24.0,5.7,25.0,2.1,25.0,16.0
AlainaMarie,49507,6427.0,Kent County,7.701427744796965,"Stable, low stage",165.81484018264842,3.9256849315068494,0.3191506849315407,42.916072,-85.64445400000001,26.0,6.2,28.0,2.2,27.0,18.0
Alakazam,32514,1917.0,Escambia County,7.675750165098162,,206.77020547945202,15.432534246575342,0.1351780821917743,30.549139,-87.218586,25.0,6.0,27.0,2.2,26.0,17.0
AlanGrant,15260,,Allegheny County,7.674720469581898,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.441,-79.95,35.0,8.4,37.0,3.0,37.0,24.0
Alatin,54016,442.0,Saint Croix County,7.696214569294332,,164.7658675799087,2.3207762557077625,0.28578082191776977,44.984444,-92.75444399999999,21.0,5.0,22.0,1.8,22.0,14.0
Albee,11701,5683.0,Suffolk County,7.693956439432401,,170.27922374429227,8.182762557077625,0.10098630136987163,40.661017,-73.40118299999999,45.0,10.8,48.0,3.9,47.0,31.0
Albright,28274,,Mecklenburg County,7.691936099355794,,195.1027397260274,9.98607305936073,0.12728767123286594,35.1895,-80.8324,46.0,11.0,49.0,4.0,48.0,32.0
Aledel,01060,1400.0,Hampshire County,7.691243162330272,Not applicable,165.00262557077625,4.547716894977169,0.2734246575342758,42.318583000000004,-72.640174,38.0,9.1,41.0,3.3,40.0,26.0
Alex44,50012,5333.0,Story County,7.6916492533717,,173.34520547945206,3.9667922374429256,0.2451780821918307,42.0244,-93.6506,17.0,4.0,18.0,1.4,18.0,11.0
AlexAdler,15601,690.0,Westmoreland County,7.691423509937175,"Stable, normal stage",166.53344748858447,5.713356164383563,0.261835616438399,40.2663,-79.57087,36.0,8.6,38.0,3.1,38.0,25.0
Alexphander,90095,8.0,Los Angeles County,7.691395213736997,Not applicable,231.3809360730594,7.317465753424657,0.10972602739727212,34.075071,-118.450961,42.0,10.0,45.0,3.6,44.0,29.0
Ali17,27411,,Guilford County,7.689103365417442,,188.952397260274,8.9513698630137,0.1366301369862883,36.079167,-79.771389,38.0,9.1,41.0,3.3,40.0,26.0
Alice,76008,184.0,Parker County,7.696242764969601,,212.04280821917808,10.566438356164383,0.15742465753425885,32.688207,-97.64808199999999,38.0,9.1,41.0,3.3,40.0,26.0
Alleb,68527,26.0,Lancaster County,7.717946167599658,"Stable, normal stage",182.00924657534247,5.000684931506847,0.2843287671233252,40.807982,-96.59532800000001,21.0,5.0,22.0,1.8,22.0,14.0
AlleyCat,37186,87.0,Sumner County,7.718479552184262,,182.38219178082198,10.054680365296806,0.15539726027397874,36.5982,-86.26556,44.0,10.5,47.0,3.8,46.0,30.0
AloeVera,33614,4751.0,Hillsborough County,7.707143678556763,,218.94075342465754,17.80079908675799,0.14136986301370466,28.0107,-82.5005,24.0,5.7,25.0,2.1,25.0,16.0
Alpacados,15213,14474.0,Allegheny County,7.706157603507258,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.442221999999994,-79.956389,35.0,8.4,37.0,3.0,37.0,24.0
Alsaber,76210,2463.0,Denton County,7.712992756732893,"Stable, normal stage",207.80901826484018,10.86107305936073,0.16652054794521928,33.174620000000004,-97.10656,42.0,10.0,45.0,3.6,44.0,29.0
Alsfro,07003,8947.0,Essex County,7.7066037427668155,,171.88618721461188,7.031621004566211,0.18523287671231667,40.792033,-74.205617,42.0,10.0,45.0,3.6,44.0,29.0
AltPhacts,90095,8.0,Los Angeles County,7.706760015109737,,226.7365296803653,8.049885844748859,0.13852054794521435,34.066,-118.448,42.0,10.0,45.0,3.6,44.0,29.0
Altwerkus,21211,6225.0,,7.706760015109737,Falling stage,177.81438356164384,7.5454337899543376,0.1645479452054667,39.331255999999996,-76.620347,34.0,8.1,36.0,2.9,36.0,23.0
Alvin,15213,14474.0,Allegheny County,7.705868027436671,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.447047,-79.956118,35.0,8.4,37.0,3.0,37.0,24.0
Alvy,92093-0068,,San Diego County,7.71368939944913,Not applicable,226.3700913242009,10.005479452054798,0.135616438356161,32.879238,-117.23535,48.0,11.5,51.0,4.2,50.0,33.0
Alyxandracam,73123,,Oklahoma County,7.714340508866634,Rising stage,205.66038812785388,7.89497716894977,0.1989315068493268,35.51556,-97.663611,59.0,15.9,71.0,5.3,61.0,42.0
Amataga,18042,1964.0,Northampton County,7.714530903211242,"Stable, normal stage",169.95205479452054,6.534132420091324,0.1838082191780788,40.697084999999994,-75.210983,42.0,10.0,45.0,3.6,44.0,29.0
Amela,75034,1454.0,Collin County,7.726031444958518,"Stable, normal stage",207.16815068493145,11.121038812785416,0.17397260273974582,33.140588,-96.832041,43.0,10.3,46.0,3.7,45.0,30.0
Amelia,15213,14474.0,Allegheny County,7.725826848473227,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.446667,-79.954167,35.0,8.4,37.0,3.0,37.0,24.0
Amelie,63112,6157.0,,7.726309689508583,"Stable, normal stage",181.73047945205482,7.855136986301369,0.16241095890411614,38.647778,-90.299722,38.0,9.1,41.0,3.3,40.0,26.0
Amethyst,76203,,Denton County,7.731546919453268,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.2125,-97.14721999999999,42.0,10.0,45.0,3.6,44.0,29.0
Amgine,49091,228.0,Saint Joseph County,7.731907580377996,,167.5513698630137,5.074771689497717,0.31841095890414,41.845976,-85.660045,8.0,1.9,8.0,0.7,8.0,5.0
Amigo,77379,2807.0,Harris County,7.734925355561693,"Stable, normal stage",201.5087899543379,15.3087899543379,0.1511506849315121,30.023958,-95.563788,34.0,8.1,36.0,2.9,36.0,23.0
Aminay,04401,448.0,Penobscot County,7.733418938086115,,159.50125570776257,3.0409817351598174,0.3241369863013749,44.8368,-68.7457,25.0,6.0,27.0,2.2,26.0,17.0
Amochick,75442,84.0,Collin County,7.7460820621702675,"Stable, normal stage",206.08310502283103,11.54417808219178,0.1599726027397365,33.171,-96.3627,37.0,8.8,39.0,3.2,39.0,25.0
Amohnition,23185,828.0,James City County,7.740299303168181,,183.7318493150685,9.803995433789954,0.10019178082193766,37.226172999999996,-76.738815,57.0,14.9,67.0,5.1,59.0,40.0
Amore2,,,,,,166.61826484018266,6.101712328767122,0.21501369863012293,40.441502,-80.002022,35.0,8.4,37.0,3.0,37.0,24.0
AnClar,33965-6565,,Lee County,7.728746319468634,,218.46917808219175,18.86872146118721,0.14701369863014613,26.460015000000002,-81.780142,19.0,4.5,20.0,1.6,20.0,13.0
Anakin,01609,5870.0,Worcester County,7.737951680096788,Not applicable,170.49326484018266,4.555388127853882,0.2352602739725997,42.276389,-71.807222,46.0,11.0,49.0,4.0,48.0,32.0
Anamika,15213,14474.0,Allegheny County,7.737846433512278,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.44556,-79.96278000000001,35.0,8.4,37.0,3.0,37.0,24.0
Anansi,19475,682.0,Chester County,7.737844149468708,"Stable, normal stage",173.58219178082192,7.039611872146119,0.22194520547949487,40.174754,-75.638035,55.0,14.0,63.0,4.9,57.0,39.0
Anatole,90095,8.0,Los Angeles County,7.7378011384901555,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.067337,-118.44129099999999,42.0,10.0,45.0,3.6,44.0,29.0
Anaya,,,Kent County,7.7379978629818496,Not applicable,165.19406392694063,4.544634703196347,0.30394520547947024,42.933021999999994,-85.587226,26.0,6.2,28.0,2.2,27.0,18.0
AndPeggy,15601,690.0,Westmoreland County,7.724769491923045,"Stable, normal stage",166.52557077625568,5.989497716894977,0.2572328767123889,40.2838,-79.5722,36.0,8.6,38.0,3.1,38.0,25.0
Anderson,,,,,,170.22454337899543,5.75115296803653,0.19347945205478892,41.8437,-71.4386,50.0,12.0,54.0,4.4,53.0,35.0
Andies,75602,475.0,Gregg County,7.724953621356682,Not applicable,199.6557077625571,11.948515981735161,0.13501369863011378,32.467869,-94.725426,33.0,7.9,35.0,2.9,34.0,23.0
Andrew,15222,4055.0,Allegheny County,7.724618729232714,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.445471999999995,-79.998708,35.0,8.4,37.0,3.0,37.0,24.0
Andromedas,28723,101.0,Jackson County,7.722975181684035,,190.76586757990867,7.947031963470319,0.13506849315066227,35.3167,-83.1648,26.0,6.2,28.0,2.2,27.0,18.0
Aneem,07801,2591.0,Morris County,7.715705486138044,,169.8912100456621,6.217237442922374,0.2446027397260521,40.9,-74.55,42.0,10.0,45.0,3.6,44.0,29.0
Angelica,63110,2732.0,,7.716493173361754,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.640283000000004,-90.29016999999999,38.0,9.1,41.0,3.3,40.0,26.0
Angelicage,15213,14474.0,Allegheny County,7.716377782747183,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4419,-79.9575,35.0,8.4,37.0,3.0,37.0,24.0
Angelique,15213,14474.0,Allegheny County,7.716369129916476,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4439,-79.9575,35.0,8.4,37.0,3.0,37.0,24.0
Anglerfish,04106,2061.0,Cumberland County,7.7158457868799655,Not applicable,162.80867579908673,5.131849315068493,0.18276712328763828,43.645983,-70.227333,50.0,12.0,54.0,4.4,53.0,35.0
Animus,75287,8754.0,Denton County,7.88302725057793,"Stable, normal stage",210.16130136986303,10.997260273972604,0.1740547945205609,33.001746000000004,-96.864174,43.0,10.3,46.0,3.7,45.0,30.0
Anjali,15213,14474.0,Allegheny County,7.882333719725929,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.447441,-79.955997,35.0,8.4,37.0,3.0,37.0,24.0
AnnaL29,,,Utah County,7.884019950360995,,196.93698630136987,-1.7906392694063926,0.38446575342460776,40.340561,-111.603007,39.0,9.3,42.0,3.4,41.0,27.0
AnnaLie,28012,733.0,Gaston County,7.882948899995665,,196.26780821917808,9.912214611872146,0.13073972602738054,35.2644,-81.0159,46.0,11.0,49.0,4.0,48.0,32.0
AnnaSerena,20740,3598.0,Prince George's County,7.869958781196488,,179.2823059360731,7.501849315068495,0.16016438356162874,38.979347,-76.941565,44.0,10.5,47.0,3.8,46.0,30.0
Annadreamy,76203,,Denton County,7.8814545380783585,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.2075,-97.1526,42.0,10.0,45.0,3.6,44.0,29.0
Annihilator,63105,6647.0,,7.870322775921018,Falling stage,181.73047945205482,7.855136986301369,0.16241095890411614,38.6467,-90.2958,38.0,9.1,41.0,3.3,40.0,26.0
Annyong,06001,784.0,Hartford County,7.869642297258055,"Stable, normal stage",170.22956621004568,5.097888127853883,0.21915068493153028,41.788333,-72.844444,31.0,7.4,33.0,2.7,32.0,21.0
Anselm,55811,403.0,Saint Louis County,7.863858488784661,"Stable, normal stage",158.26780821917808,0.9578767123287673,0.3918356164383128,46.813666,-92.106363,17.0,4.0,18.0,1.4,18.0,11.0
Antares,19151,12494.0,Philadelphia County,7.861746039123374,Not applicable,174.19646118721462,7.453995433789954,0.14523287671230675,39.9566,-75.1899,67.0,19.7,87.0,6.1,69.0,48.0
Antoinette,43950,191.0,Belmont County,7.8617787350846,"Stable, normal stage",166.51917808219181,6.304337899543379,0.2380273972602953,40.077045,-80.925465,34.0,8.1,36.0,2.9,36.0,23.0
Antonia,57313,6.0,Douglas County,,,176.68002283105022,2.227625570776256,0.34027397260274084,43.3186,-98.3467,36.0,8.6,38.0,3.1,38.0,25.0
Antonio,15213,14474.0,Allegheny County,7.861236260289267,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4432,-79.9597,35.0,8.4,37.0,3.0,37.0,24.0
Anubis,84601,2252.0,Utah County,7.864874467773161,,195.16518264840184,-1.4984132420091318,0.3083835616438892,40.252144,-111.668972,39.0,9.3,42.0,3.4,41.0,27.0
Apex,10901,1304.0,Rockland County,7.856148685163528,,172.11335616438353,6.0156392694063925,0.20939726027397865,41.107,-74.141,23.0,5.5,24.0,2.0,24.0,16.0
Aphelion,23186,,,7.844949589554207,,184.5970319634704,9.672374429223744,0.1367123287671037,37.270645,-76.713451,57.0,14.9,67.0,5.1,59.0,40.0
Apizium,00726,,Caguas,7.844777719482948,"Stable, normal stage",,,,,,,,,,,
Appa,21211,6225.0,,7.844648939682238,,177.81438356164384,7.5454337899543376,0.1645479452054667,39.326889,-76.62755600000001,34.0,8.1,36.0,2.9,36.0,23.0
AppleCider,01080,1351.0,Hampshire County,7.843826993556927,Not applicable,166.43082191780826,4.856232876712335,0.2400000000000317,42.196999999999996,-72.3824,50.0,12.0,54.0,4.4,53.0,35.0
AppleCloud,54016,442.0,Saint Croix County,7.696214569294332,,164.7658675799087,2.3207762557077625,0.28578082191776977,44.984444,-92.75444399999999,21.0,5.0,22.0,1.8,22.0,14.0
Appletree2,89511,168.0,Washoe County,7.841321128592584,Not applicable,216.91164383561645,-1.6848173515981737,0.3040547945205557,39.3825,-119.7416,25.0,6.0,27.0,2.2,26.0,17.0
Apricot,53140,3473.0,Kenosha County,7.843146809211492,"Stable, normal stage",166.74212328767123,4.8859589041095886,0.2167945205478883,42.619701,-87.821162,35.0,8.4,37.0,3.0,37.0,24.0
ArMaWen,21228,3070.0,Baltimore County,7.81658254125142,,180.49235159817349,7.419178082191781,0.17175342465754556,39.255283,-76.707849,34.0,8.1,36.0,2.9,36.0,23.0
Araceli,76203,,Denton County,7.85310458510551,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.2077,-97.1524,42.0,10.0,45.0,3.6,44.0,29.0
Aragog,90024,16154.0,Los Angeles County,7.853261244698772,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.068321000000005,-118.449322,42.0,10.0,45.0,3.6,44.0,29.0
Araxxi,32514,1917.0,Escambia County,7.675750165098162,,206.77020547945202,15.432534246575342,0.1351780821917743,30.549139,-87.218586,25.0,6.0,27.0,2.2,26.0,17.0
Arbiter,22401,2326.0,Fredericksburg City,7.833943384908843,,180.9197488584475,7.675,0.15238356164382064,38.303521999999994,-77.47614200000001,47.0,11.2,50.0,4.1,49.0,32.0
Arby,19038,4010.0,Philadelphia County,7.832399556280966,Not applicable,177.51518264840183,6.8054794520547945,0.2167945205479716,40.0909,-75.2242,55.0,14.0,63.0,4.9,57.0,39.0
Arcadia,19087,2018.0,Delaware County,7.831966934814916,Not applicable,174.9670091324201,7.165639269406393,0.16457534246574065,40.051219,-75.377229,55.0,14.0,63.0,4.9,57.0,39.0
Arcanine,63105,6647.0,Saint Louis County,7.832121432768406,"Stable, normal stage",181.73047945205482,7.855136986301369,0.16241095890411614,38.645264000000005,-90.313271,38.0,9.1,41.0,3.3,40.0,26.0
ArcherNM,99164,,Whitman County,,,165.92054794520547,2.092351598173516,0.3042739726027741,46.728969,-117.16501699999999,17.0,4.0,18.0,1.4,18.0,11.0
ArcherS7,06106,9436.0,Hartford County,7.830975777712389,Falling stage,168.72705479452054,5.6625570776255705,0.2178904109589068,41.744494,-72.690511,31.0,7.4,33.0,2.7,32.0,21.0
Archetta,,,Los Angeles County,7.831126444767905,Not applicable,226.7365296803653,8.049885844748859,0.13852054794521435,34.065,-118.4425,42.0,10.0,45.0,3.6,44.0,29.0
Archie,97331,7464.0,Benton County,7.829379657824013,"Stable, normal stage",156.91027397260274,7.4495433789954335,0.13813698630134874,44.567721999999996,-123.281986,23.0,5.5,24.0,2.0,24.0,16.0
Archimedes,,,,,,166.06221461187215,6.1813470319634725,0.20728767123284966,40.4405,-79.9958,35.0,8.4,37.0,3.0,37.0,24.0
Archis,15222,4055.0,Allegheny County,7.82860836620896,"Stable, normal stage",166.61826484018266,6.101712328767122,0.21501369863012293,40.442221999999994,-80.01,35.0,8.4,37.0,3.0,37.0,24.0
Arete,,,,,,174.29452054794518,2.9713013698630126,0.3317808219178016,43.0008,-96.0603,65.0,18.7,83.0,5.9,67.0,47.0
Argie,32514,1917.0,Escambia County,7.818703440990998,,203.3537671232877,15.233504566210046,0.11635616438356745,30.56,-87.22,25.0,6.0,27.0,2.2,26.0,17.0
Ariadne,15260,,Allegheny County,7.73660727886649,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4443,-79.9532,35.0,8.4,37.0,3.0,37.0,24.0
Ariel,43201,11514.0,Franklin County,7.818056892456666,Not applicable,171.3874429223744,6.369520547945205,0.2559452054794956,40.00405,-83.002236,13.0,3.1,14.0,1.1,13.0,9.0
Aries55,29731,,York County,7.815028532617627,"Stable, normal stage",201.33995433789954,10.174429223744294,0.14706849315068365,34.941704,-81.031891,46.0,11.0,49.0,4.0,48.0,32.0
Arlo,76433,12.0,Erath County,7.81658254125142,,209.6224885844749,10.367351598173515,0.14884931506850332,32.318889,-98.02080600000001,38.0,9.1,41.0,3.3,40.0,26.0
Armstrong,15260,,Allegheny County,7.816276145592167,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444253,-79.953239,35.0,8.4,37.0,3.0,37.0,24.0
Aroostook,75602,475.0,Gregg County,7.8154183438605305,Not applicable,199.6557077625571,11.948515981735161,0.13501369863011378,32.467045,-94.724361,33.0,7.9,35.0,2.9,34.0,23.0
Arri,15262,,Allegheny County,7.815116019141449,"Stable, normal stage",166.06221461187215,6.1813470319634725,0.20728767123284966,40.4406,-79.9959,35.0,8.4,37.0,3.0,37.0,24.0
