Phage Name,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,Latitude,Longitude,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
Et2Brutus,23233,2342.0,Henrico County,7.742327223828322,Peak stage,185.0351598173516,8.561643835616437,0.14405479452052514,37.66,-77.627222,24.0,5.7,25.0,2.1,25.0,16.0
Etna,15213,14474.0,Allegheny County,7.7423039281153665,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.4433,-79.953,35.0,8.4,37.0,3.0,37.0,24.0
Etta,56563,,Clay County,7.742592214104234,"Stable, normal stage",160.40570776255709,0.1386986301369863,0.3510136986301477,46.866729,-96.75782,22.0,5.2,23.0,1.9,23.0,15.0
Eugenia,44333,674.0,Summit County,7.741372595488378,Not applicable,163.42968036529683,5.883561643835616,0.31827397260276474,41.1871,-81.6822,36.0,8.6,38.0,3.1,38.0,25.0
Eunoia,01060,1400.0,Hampshire County,7.741336592063898,Not applicable,165.00262557077625,4.547716894977169,0.2734246575342758,42.318000000000005,-72.645,34.0,8.1,36.0,2.9,36.0,23.0
Euphoria,18045,1428.0,Northampton County,7.741449614110192,Not applicable,170.12922374429226,6.275456621004566,0.2424109589041358,40.661219,-75.26104699999999,42.0,10.0,45.0,3.6,44.0,29.0
Euratis,76203,,Denton County,7.7435231550368275,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.2116,-97.1489,42.0,10.0,45.0,3.6,44.0,29.0
Evamon,,,Kent County,7.743529179136122,,165.19406392694063,4.544634703196347,0.30394520547947024,42.933816,-85.591137,26.0,6.2,28.0,2.2,27.0,18.0
Evanesce,06106,9436.0,Hartford County,7.7434322381154574,"Stable, normal stage",167.2908675799087,5.649657534246575,0.19736986301366852,41.75,-72.69,31.0,7.4,33.0,2.7,32.0,21.0
Eviarto,15213,14474.0,,7.743419702555329,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.443333,-79.95611099999999,35.0,8.4,37.0,3.0,37.0,24.0
EvilGenius,04473,427.0,Penobscot County,7.743419200290543,,158.55593607305937,3.4551369863013703,0.3524383561643947,44.89,-68.67,25.0,6.0,27.0,2.2,26.0,17.0
Evy,46182,55.0,Shelby County,7.7434569261160435,,178.6579908675799,6.884246575342464,0.23441095890413904,39.438778000000006,-85.73100000000001,6.0,1.4,6.0,0.5,6.0,4.0
Ewald,56296,8.0,Traverse County,7.743507021775317,,165.0310502283105,1.0098173515981734,0.3421643835616415,45.744721999999996,-96.355278,44.0,10.5,47.0,3.8,46.0,30.0
Ewok,60087,2028.0,Lake County,7.743581615601326,,169.72442922374432,5.357648401826483,0.2783835616438257,42.3954,-87.8269,35.0,8.4,37.0,3.0,37.0,24.0
Exiguo,15213,14474.0,Allegheny County,7.743569030494688,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.438,-79.96,35.0,8.4,37.0,3.0,37.0,24.0
Expelliarmus,,,Kent County,7.743579412999293,,165.19406392694063,4.544634703196347,0.30394520547947024,42.930686,-85.58936700000001,26.0,6.2,28.0,2.2,27.0,18.0
ExplosioNervosa,29731,,York County,7.744503621191641,"Stable, normal stage",201.33995433789954,10.174429223744294,0.14706849315068365,34.940205999999996,-81.03281,46.0,11.0,49.0,4.0,48.0,32.0
Eyes,15213-4026,,Allegheny County,7.744479695421674,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.438889,-79.954722,35.0,8.4,37.0,3.0,37.0,24.0
Eyre,15213,14474.0,Allegheny County,7.745400745507416,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.445,-79.954,35.0,8.4,37.0,3.0,37.0,24.0
Fabian,21042,1016.0,Howard County,7.744429695005595,,178.5221461187214,7.122716894977169,0.16758904109588108,39.25281,-76.851488,42.0,10.0,45.0,3.6,44.0,29.0
Fairfaxidum,15260,,Allegheny County,7.744405822637619,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.444449,-79.952562,35.0,8.4,37.0,3.0,37.0,24.0
Faith1,,,Gilmer County,7.7442539432748045,Not determined,190.01210045662103,9.109246575342468,0.1252876712328673,34.73344,-84.400093,60.0,16.3,73.0,5.4,62.0,43.0
Faith5x5,66506‐1600,,Riley County,7.744378225854414,"Stable, high stage",188.35228310502282,6.428847031963465,0.20923287671234894,39.19232,-96.584034,24.0,5.7,25.0,2.1,25.0,16.0
Faja,15213,14474.0,Allegheny County,7.744354392971497,"Stable, normal stage",165.3197488584475,6.24406392694064,0.21063013698629074,40.452728,-79.9437,35.0,8.4,37.0,3.0,37.0,24.0
Fameo,10550,18696.0,Westchester County,7.757008178261878,,172.1821917808219,6.581027397260272,0.16416438356160504,40.91,-73.835,15.0,3.6,16.0,1.3,15.0,10.0
Familton,90095,8.0,Los Angeles County,7.691395213736997,Not applicable,231.3809360730594,7.317465753424657,0.10972602739727212,34.075071,-118.450961,42.0,10.0,45.0,3.6,44.0,29.0
Fang,15238,804.0,Allegheny County,7.756945046255388,"Stable, normal stage",164.97397260273976,6.081392694063928,0.2456438356164581,40.518415999999995,-79.889939,35.0,8.4,37.0,3.0,37.0,24.0
Farber,15401,554.0,Fayette County,7.756774311363576,"Stable, normal stage",163.1006849315069,6.145091324200911,0.2301917808219384,39.866667,-79.716994,34.0,8.1,36.0,2.9,36.0,23.0
Feastonyeet,,,,,,183.57534246575344,4.587328767123288,0.2958630136986434,41.2097,-96.2161,26.0,6.2,28.0,2.2,27.0,18.0
Fede,,,,,,172.96381278538811,5.048173515981736,0.32397260273977896,41.898056,-87.858889,26.0,6.2,28.0,2.2,27.0,18.0
FelixAlejandro,11232,22028.0,Kings County,7.755455942757067,,172.75981735159817,7.501027397260274,0.09528767123288656,40.65583,-74.0083,35.0,8.4,37.0,3.0,37.0,24.0
Fenry,10960,3599.0,Rockland County,7.755194256344994,Not applicable,168.32260273972602,6.337157534246575,0.2069863013698425,41.0864,-73.931,16.0,3.8,17.0,1.4,16.0,11.0
Fibonacci,47907,,Tippecanoe County,7.755278435906145,,173.16632420091324,6.472374429223744,0.2340821917808549,40.423,-86.921,12.0,2.8,12.0,1.0,12.0,8.0
FidgetOrca,76201,4857.0,Denton County,7.756784492052644,"Stable, normal stage",208.52066210045663,10.775228310502284,0.16802739726028745,33.208929,-97.14766800000001,42.0,10.0,45.0,3.6,44.0,29.0
Finch,,,Dunn County,7.756827219830677,,162.2650684931507,1.8453196347031964,0.4195068493150228,45.0,-92.0,29.0,6.9,31.0,2.5,30.0,20.0
Findley,10960,3599.0,Rockland County,7.769492827886674,,168.32260273972602,6.337157534246575,0.2069863013698425,41.08873,-73.92909300000001,16.0,3.8,17.0,1.4,16.0,11.0
Finemlucis,66450,,Pottawatomie County,7.769540610286462,"Stable, high stage",186.5690639269406,6.7335616438356185,0.2116986301370068,39.244471999999995,-96.317194,24.0,5.7,25.0,2.1,25.0,16.0
Finnry,29424,21060.0,Charleston County,7.769516254361592,"Stable, normal stage",199.05627853881282,15.504337899543383,0.08495890410960122,32.783445,-79.937537,44.0,10.5,47.0,3.8,46.0,30.0
Finny,78132,103.0,Comal County,7.804429939415656,Not applicable,208.39794520547943,12.88687214611872,0.11887671232876905,29.782774,-98.128783,30.0,7.2,32.0,2.6,31.0,21.0
Fionnbharth,92093,,San Diego County,7.80449912657238,Rising stage,215.42408675799086,10.671335616438355,0.05679452054794475,32.885,-117.243,48.0,11.5,51.0,4.2,50.0,33.0
FireRed,90210,2147.0,Los Angeles County,7.803769105516348,Not applicable,228.4574200913242,7.531735159817352,0.11506849315069242,34.08,-118.4,61.0,16.8,75.0,5.5,63.0,43.0
Fireball,,,Kent County,7.8045040448753396,,165.19406392694063,4.544634703196347,0.30394520547947024,42.933681,-85.591112,26.0,6.2,28.0,2.2,27.0,18.0
Firehouse51,53140,3473.0,Kenosha County,7.8045040448753396,Not applicable,,,,,,,,,,,
