Phage Name,Latitude,Longitude,Zipcode,Population Density,County,pH,Waterquality,GHI,Dew Point,Albedo,AQI,PM25,PM10,CO_8H,NO2_1H,SO3_1H
Tubs,31.312336,-89.914974,39483,42.0,Marion County,,,200.84863013698632,14.083812785388124,0.13550684931504858,17.0,4.0,18.0,1.4,18.0,11.0
Tuco,41.081909,-73.927521,10960,3599.0,Rockland County,7.777086361970383,,168.32260273972602,6.337157534246575,0.2069863013698425,11.0,2.6,11.0,0.9,11.0,7.0
TuertoX,40.1643,-79.545,15666,299.0,Westmoreland County,,,164.97705479452054,5.569292237442921,0.2739726027397664,40.0,9.6,43.0,3.5,42.0,28.0
Turbido,37.099046,-76.52985,23602,2970.0,,,,184.54326484018262,10.442237442922377,0.10898630136987897,57.0,14.9,67.0,5.1,59.0,40.0
Turj99,38.648961,-90.314219,63105,6647.0,Saint Louis County,,,181.73047945205482,7.855136986301369,0.16241095890411614,37.0,8.8,39.0,3.2,39.0,25.0
Tweety,40.44422,-79.953218,15260,,Allegheny County,7.796049722495116,"Stable, high stage",165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Tweety19,,,,,,,,207.60365296803653,17.19189497716895,0.06613698630136462,18.0,4.3,19.0,1.5,19.0,12.0
Twinkle,40.4440088,-79.95605400000002,15213,14474.0,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Twister,33.887421999999994,-118.031269,90670,1757.0,Los Angeles County,,,224.25262557077625,7.571792237442927,0.14471232876712942,55.0,14.0,63.0,4.9,57.0,39.0
Twister6,40.440411,-79.95573900000002,15213-4026,,Allegheny County,,,165.3197488584475,6.24406392694064,0.21063013698629074,38.0,9.1,41.0,3.3,40.0,26.0
Twitch,42.798056,-86.093889,49424,780.0,Ottawa County,,,165.62773972602741,4.986187214611872,0.3325753424657595,27.0,6.4,29.0,2.3,28.0,18.0
Twonlo,35.9749,-78.8815,27707,2116.0,Durham County,,,191.19155251141552,9.991894977168947,0.14863013698626626,41.0,9.8,44.0,3.6,43.0,28.0
TyDawg,34.527221999999995,-83.986944,30597,,Lumpkin County,,,193.7167808219178,9.897488584474884,0.13586301369860698,58.0,15.4,69.0,5.2,60.0,41.0
Tydolla,41.047196,-73.95059499999998,10962,1015.0,Rockland County,7.797780809696435,,169.68162100456618,6.5220319634703205,0.21528767123286696,11.0,2.6,11.0,0.9,11.0,7.0
TygerBlood,33.826667,-85.772778,36265,212.0,Calhoun County,,,193.48047945205482,11.11345890410959,0.14084931506849335,42.0,10.0,45.0,3.6,44.0,29.0
TymAbreu,44.984444,-92.754444,54016,442.0,Saint Croix County,7.696214569294332,,164.7658675799087,2.3207762557077625,0.28578082191776977,21.0,5.0,22.0,1.8,22.0,14.0
Typha,25.42,-80.17,,,Miami-Dade County,7.745028649569257,Not applicable,223.5103881278539,20.966438356164385,0.028000000000003283,15.0,3.6,16.0,1.3,15.0,10.0
TyrionL,40.039,-83.098,43221,3347.0,Franklin County,,,170.9837899543379,6.402625570776256,0.2471232876712842,12.0,2.8,12.0,1.0,12.0,8.0
Tyrumbra,44.973333,-92.731667,54016-9303,,Saint Croix County,,,164.7658675799087,2.3207762557077625,0.28578082191776977,21.0,5.0,22.0,1.8,22.0,14.0
Tyson,32.465976,-94.722844,75602,475.0,Gregg County,,,199.6557077625571,11.948515981735161,0.13501369863011378,30.0,7.2,32.0,2.6,31.0,21.0
U2,40.62164,-75.361919,18108,,Northampton County,,,170.40079908675796,6.190639269406392,0.17032876712327946,39.0,9.3,42.0,3.4,41.0,27.0
UAch1,46.999722,-92.135556,55803,52.0,Saint Louis County,,,155.94098173515982,0.8044520547945205,0.343369863013653,17.0,4.0,18.0,1.4,18.0,11.0
