Factor,Min,Q1,Med,Q3,Max,Host
AQI,1.0,26.0,37.0,45.0,99.0,Mycobacterium smegmatis mc²155
GHI,135.07191780821918,166.8412100456621,177.81438356164384,191.1937214611872,252.88082191780828,Mycobacterium smegmatis mc²155
pH,7.419423558897249,7.7378163667893105,7.785338494349199,7.795167815113812,7.910136628420137,Mycobacterium smegmatis mc²155
Population Density,5.0,360.5,1765.0,5973.0,111184.0,Mycobacterium smegmatis mc²155
Dew Point,-4.6898401826484015,5.43247716894977,6.637100456621004,8.325,20.966438356164385,Mycobacterium smegmatis mc²155
Albedo,0.02323287671233089,0.15105479452056036,0.18276712328763828,0.2431506849315366,0.4868493150684643,Mycobacterium smegmatis mc²155
Albedo,0.01172602739726212,0.15491780821918694,0.20826027397259927,0.23680136986302422,0.4749589041095448,Microbacterium foliorum NRRL B-24224
